,1.0,2.0,3.0,accuracy,macro avg,weighted avg
precision,0.9501466275659824,0.9074074074074074,0.9032258064516129,0.9413145539906104,0.9202599471416676,0.9397998359076656
recall,0.9938650306748467,0.7205882352941176,0.875,0.9413145539906104,0.8631510886563215,0.9413145539906104
f1-score,0.9715142428785607,0.8032786885245902,0.8888888888888888,0.9413145539906104,0.8878939400973466,0.9384531418838672
support,326.0,68.0,32.0,0.9413145539906104,426.0,426.0
