,1.0,2.0,3.0,accuracy,macro avg,weighted avg
precision,0.9134328358208955,0.6956521739130435,0.9545454545454546,0.8802816901408451,0.8545434880931312,0.8817579972984823
recall,0.9386503067484663,0.7058823529411765,0.65625,0.8802816901408451,0.7669275532298809,0.8802816901408451
f1-score,0.9258698940998488,0.7007299270072993,0.7777777777777778,0.8802816901408451,0.8014591996283086,0.8788077685491454
support,326.0,68.0,32.0,0.8802816901408451,426.0,426.0
