,1.0,2.0,3.0,accuracy,macro avg,weighted avg
precision,0.9367469879518072,0.75,0.8823529411764706,0.9061032863849765,0.8563666430427593,0.902851671807362
recall,0.9539877300613497,0.6617647058823529,0.9375,0.9061032863849765,0.8510841453145676,0.9061032863849765
f1-score,0.9452887537993921,0.703125,0.9090909090909091,0.9061032863849765,0.852501554296767,0.9039144197875842
support,326.0,68.0,32.0,0.9061032863849765,426.0,426.0
