,1.0,2.0,3.0,accuracy,macro avg,weighted avg
precision,0.9369369369369369,0.7627118644067796,0.8823529411764706,0.9084507042253521,0.8606672475067291,0.9050261557247642
recall,0.9570552147239264,0.6617647058823529,0.9375,0.9084507042253521,0.8521066402020931,0.9084507042253521
f1-score,0.9468892261001517,0.7086614173228346,0.9090909090909091,0.9084507042253521,0.8548805175046318,0.9060229417312471
support,326.0,68.0,32.0,0.9084507042253521,426.0,426.0
